iso3,share_years_labsh_unchanged
ARG,0.6610169491525424
BOL,0.23728813559322035
BRA,0.576271186440678
CHL,0.7796610169491526
COL,0.559322033898305
CRI,0.9322033898305084
DOM,0.576271186440678
ECU,0.2711864406779661
GTM,0.711864406779661
HND,0.6326530612244898
MEX,0.576271186440678
NIC,0.7948717948717948
PAN,0.56
PER,0.6779661016949152
PRY,0.5932203389830508
SLV,
URY,0.864406779661017
VEN,0.6949152542372882
