,0
antisys_l5,0.28772851643471326
urban_share,0.19636249692761762
ln_gdppc,0.11566426945083635
k_l2,0.11191816172695113
abs_red_l1,0.10234151628177644
v2x_polyarchy_l1,0.08100916223970192
resource_rents,0.05172276407007829
milexp_gdp_l1,0.0436690271082375
decade,0.0070943684570754315
dem_l1,0.002489717303011943
