iso3,year,education_share,health_social_share,education_health_share,manufacturing_share
ARG,1998,6.074702547876546,4.829834785857252,10.9045373337338,14.341964526429498
ARG,1999,6.106585865699287,4.728460450307314,10.8350463160066,13.449279417799316
ARG,2000,6.329190538387253,4.6242832127605755,10.953473751147829,13.024386268251353
ARG,2001,6.641419186921927,4.373538616913505,11.014957803835433,12.962684622467005
ARG,2002,7.58340445237411,4.99998382945931,12.583388281833422,12.279126396692847
ARG,2003,7.117580927866234,5.970039477448348,13.087620405314581,12.957445740125584
ARG,2004,7.026404689286661,5.937277573340799,12.96368226262746,12.82828630526678
ARG,2005,7.015071875268689,5.738031651008592,12.753103526277282,13.007262575599334
ARG,2006,7.285016398206447,5.3043308185329145,12.589347216739363,13.017055695436435
ARG,2007,7.172776721682419,5.166211052947471,12.33898777462989,13.02716366545885
ARG,2008,7.1001535446280455,5.063406395782373,12.163559940410419,13.000913714125533
ARG,2009,7.374425066126356,5.124246041149004,12.49867110727536,12.273769213319897
ARG,2010,7.338440767838946,4.936223171931682,12.274663939770628,12.644664179737164
ARG,2011,6.341906497970404,4.720063332797638,11.061969830768042,12.525532419467009
ARG,2012,6.402866091698035,4.833161470278276,11.23602756197631,12.30204537354768
ARG,2013,6.539300467045821,5.020701738556284,11.560002205602105,12.46192787759967
ARG,2014,6.476784293557421,4.945443029411962,11.422227322969384,12.447908604007663
ARG,2015,6.546110503396106,5.086652900411534,11.63276340380764,12.057682234885666
ARG,2016,6.702938348872508,5.321412231905373,12.024350580777881,11.657245995226509
ARG,2017,6.791204727417079,5.49439874215185,12.28560346956893,11.2753658462212
ARG,2018,6.880742004358223,5.5192096767775585,12.399951681135782,10.77678704402014
ARG,2019,6.790775453739675,5.733106787315392,12.523882241055066,10.834730741980607
ARG,2020,7.644362715735697,6.325043158686745,13.969405874422442,11.440006019735682
ARG,2021,6.824423560506183,6.104313914611067,12.92873747511725,10.76061098567526
BOL,1998,5.38749773986972,1.4718592846435747,6.859357024513295,16.821840990716222
BOL,1999,5.416409960917509,1.487912540897444,6.904322501814953,16.746400006916762
BOL,2000,5.375825293417872,1.2153984998002691,6.591223793218141,15.06687554830059
BOL,2001,4.774864108595735,1.2503166917911064,6.025180800386842,13.789103863868705
BOL,2002,4.669669800497811,1.3192243602894562,5.988894160787267,16.440058647449145
BOL,2003,4.795171433590112,1.4278489749115384,6.22302040850165,16.52939923758932
BOL,2004,4.620320220364082,1.449007554455179,6.069327774819261,16.529463695108873
BOL,2005,5.348032509457391,1.2138581433525242,6.561890652809915,16.157034225637677
BOL,2006,5.68329354609038,1.73537149207518,7.41866503816556,15.552526465577946
BOL,2007,5.8049596921214945,1.9297289455046647,7.734688637626159,16.279281196847144
BOL,2008,5.89911606434107,1.8865087873328663,7.785624851673936,16.65070103427837
BOL,2009,7.05297687923116,2.2009217751960977,9.253898654427257,17.145934394326602
BOL,2010,6.730715843966673,2.2339286055479564,8.96464444951463,13.916826733413282
BOL,2011,6.356659788886116,2.243414554414727,8.600074343300843,11.119881648277099
BOL,2012,6.429567753985602,2.238180573016053,8.667748327001656,10.833464399124487
BOL,2013,6.783366230836586,2.856782433369305,9.640148664205892,10.552275228074043
BOL,2014,5.839924760611839,2.0850862622404445,7.925011022852283,14.162587641263007
BOL,2015,5.283578708946772,2.2427262431792445,7.526304952126017,13.104437352002472
BOL,2016,5.282829255645755,2.2499513375766154,7.53278059322237,13.032894172740832
BOL,2017,5.047727624431686,2.0756276677224923,7.123355292154178,12.953138191697958
BOL,2018,4.777996713698652,2.0128733343080576,6.79087004800671,13.104479764040848
BOL,2019,4.974245316719225,2.1195976884861847,7.093843005205409,14.57665139182841
BOL,2020,4.372504310453686,2.6518622653123187,7.024366575766004,11.600517125400698
BOL,2021,4.345597941450152,2.5864499785895605,6.932047920039713,11.441912788360588
BRA,1998,5.3530345218042115,4.329003298272969,9.68203782007718,15.112910120103132
BRA,1999,5.387595700459703,4.351218459477411,9.738814159937114,14.941382839665419
BRA,2000,5.262348981907109,4.406776733175474,9.669125715082583,15.012955838286382
BRA,2001,5.1629289526307405,4.469809093418485,9.632738046049226,15.016794192418503
