iso3,year,cate,cate_lb,cate_ub,k_l2,antisys_l5,milexp_gdp_l1,dem_l1,ln_gdppc,resource_rents,urban_share,decade,v2x_polyarchy_l1,abs_red_l1
ARG,1990,-0.30187299123991707,,,11.858176560213609,-1.365,1.88036559239223,1.0,9.001481046574039,2.54133379153863,86.9197327116719,1990,0.828,1.9
ARG,1991,-0.34160178146842674,,,11.853592602947957,-1.4250000000000003,1.45090921225786,1.0,9.074500394927384,1.11216953670952,87.2150276705697,1990,0.826,2.0
ARG,1992,-0.3403713983417543,,,11.825630879974087,-1.6643999999999999,1.50692655529635,1.0,9.137036821690298,1.09688763068098,87.4815873775619,1990,0.829,2.2
ARG,1993,-0.3556776704166881,,,11.80310625421051,-1.9038,1.42122223348777,1.0,9.202376099770508,1.09534038350252,87.7307713525095,1990,0.829,2.4
ARG,1994,-0.3516115144823382,,,11.808965638683144,-2.1431999999999998,1.42280290057293,1.0,9.24569716059452,1.03761625538356,87.964582650281,1990,0.829,2.5
ARG,1995,-0.35626439481107497,,,11.840530241236541,-2.3825999999999996,1.45703853325047,1.0,9.203729343343023,1.29807343639538,88.1853677511823,1990,0.834,2.4
ARG,1996,-0.35311958871156807,,,11.868223993769421,-2.562,1.47307310721151,1.0,9.244948540627123,1.59598410207505,88.3954731355194,1990,0.833,2.2
ARG,1997,-0.3524496672365527,,,11.938276165129079,-2.562,1.24122726437626,1.0,9.310790784763434,1.42473252510187,88.5972452835983,1990,0.83,2.1
ARG,1998,-0.3375056981266904,,,11.938320431216727,-2.562,1.14013911131295,1.0,9.336814614986345,0.821860211536179,88.793030675725,1990,0.829,2.0
ARG,1999,-0.3484216625636923,,,11.921221134441813,-2.562,1.13631802186333,1.0,9.290843275402365,1.4005641030747,88.9851757922053,1990,0.828,1.9
ARG,2000,-0.3617176435682211,,,11.91052352199646,-2.562,1.22035954754993,1.0,9.271590714591147,2.36414526373118,89.1760271133454,2000,0.828,1.8
ARG,2001,-0.3570936471667959,,,11.925453436669526,-2.4048,1.14882267666887,1.0,9.215521411810418,1.91854085449722,89.3682951289372,2000,0.833,1.7
ARG,2002,-0.36515615619006736,,,11.933079477582066,-2.2476,1.18423354187058,1.0,9.089478325218936,5.63090239331634,89.5616701920513,2000,0.833,1.5
ARG,2003,-0.3649966667806058,,,11.94905837755386,-2.1109999999999998,1.09188047859748,1.0,9.163828464434127,4.54405237920157,89.752468256564,2000,0.826,1.4
ARG,2004,-0.3647296546697233,,,11.948523691874344,-1.9744,1.06089505704838,1.0,9.240136673356535,4.29522015828479,89.9397208794212,2000,0.807,1.5
ARG,2005,-0.3606002103539634,,,11.9052645320967,-1.8378,0.883295358833529,1.0,9.314677947324345,5.18727382834912,90.1233737736072,2000,0.795,1.8
ARG,2006,-0.3602914847454007,,,11.860539092681057,-1.8584,0.847154783885961,1.0,9.381793005097167,5.77560944191323,90.3033726521064,2000,0.793,2.0
ARG,2007,-0.3600798873828399,,,11.837341119513741,-1.879,0.788233877461469,1.0,9.45812987103844,4.83861569507875,90.4796632279031,2000,0.78,2.1
ARG,2008,-0.36857364056831715,,,11.834641359788876,-1.879,0.792548175031362,1.0,9.487771863276931,4.94937994883837,90.6521912139817,2000,0.781,2.3
ARG,2009,-0.36250576690650976,,,11.835375707615816,-1.879,0.762756475390461,1.0,9.416165091577739,3.09834695426024,90.8209023233265,2000,0.766,2.5
ARG,2010,-0.36183280278432184,,,11.85291965158547,-1.879,0.886508576686385,1.0,9.502050972116228,3.25709519384359,90.9930051940977,2010,0.756,2.4
ARG,2011,-0.3605447863430359,,,11.862794419354701,-1.879,0.814878118220695,1.0,9.54970975869115,3.88650404225898,91.1072286738406,2010,0.746,2.5
ARG,2012,-0.3575602747992241,,,11.866996609978463,-1.879,0.764287095310235,1.0,9.529115900298596,3.62564790864033,91.2041217246797,2010,0.749,2.6
ARG,2013,-0.35908208416383214,,,11.884286624083812,-1.879,0.784824735364742,1.0,9.54295482571449,3.15558730477948,91.3014507719473,2010,0.763,2.7
ARG,2014,-0.3629621824786804,,,11.898350957385817,-1.879,0.83773642721392,1.0,9.507190185666095,2.96561619466374,91.3975345472954,2010,0.772,2.6
ARG,2015,-0.3449459607298387,,,11.910130774593592,-1.879,0.878100924236765,1.0,9.52366288803301,1.11677493458146,91.4923019108628,2010,0.777,2.6
ARG,2016,-0.337731964616395,,,11.919928573726937,-1.879,0.850128597463815,1.0,9.492951061469718,0.929681521135013,91.5856817228217,2010,0.765,2.6
ARG,2017,-0.33404801516004234,,,11.919643148300313,-1.6406000000000003,0.809245362717563,1.0,9.511933706412325,1.02056616793198,91.6776028433824,2010,0.751,2.5
ARG,2018,-0.34928579898775913,,,11.945199071643504,-1.4022000000000001,0.84775481125944,1.0,9.477181411867754,2.0371251352841,91.7679941327998,2010,0.751,2.4
ARG,2019,-0.356526123362077,,,11.953540506706386,-1.1638,0.732300347538541,1.0,9.449860910237419,2.16668838721926,91.8567844513802,2010,0.78,2.2
ARG,2020,-0.33848304659834527,,,11.967793819868639,-0.9254000000000001,0.699696134379197,1.0,9.340758851642148,1.42962432529499,91.9439026594897,2020,0.779,2.0
ARG,2021,-0.3434133727085578,,,11.952887738387744,-0.7762,0.734111593948744,1.0,9.437418665623444,2.65308888983975,92.0292776175651,2020,0.797,1.9
BOL,1993,-0.10138706567690889,,,10.008099145603719,-0.917,2.50611883346961,1.0,7.4745840249638595,3.64155613379886,58.2268316609648,1990,0.697,-1.2
BOL,1994,-0.1035081253692801,,,10.005719869613834,-0.917,1.91634980988593,1.0,7.50084488681341,4.41108909617144,58.8292590535639,1990,0.705,-1.5
BOL,1995,-0.11281039876149028,,,10.020316137579018,-0.917,2.25030123424626,1.0,7.527676633952898,5.11080000814782,59.391206278167,1990,0.718,-1.8
BOL,1996,-0.11538930836792567,,,9.995460313002843,-0.817,2.09616225791141,1.0,7.551862950910272,4.73280305606934,59.9202441998117,1990,0.73,-2.0
BOL,1997,-0.11988022843854552,,,10.003945836060408,-0.7746000000000001,1.98680754250518,1.0,7.582159932079648,4.01382529219893,60.4239436835356,1990,0.73,-2.1
BOL,1998,-0.1255439356786214,,,10.018708972014046,-0.7322,2.27361030066829,1.0,7.6135735150973165,2.23594806398861,60.9098755943764,1990,0.735,-2.3
BOL,1999,-0.13595694506073203,,,10.059347546087562,-0.5576,2.69111085956905,1.0,7.600374990329908,2.77497627522259,61.3856107973717,1990,0.735,-2.6
BOL,2000,-0.18389547431915254,,,10.11718756029667,-0.38299999999999995,2.13328709491197,1.0,7.60797253075436,4.61282788346862,61.8587201575591,2000,0.743,-2.9
BOL,2001,-0.19439495810005378,,,10.143782078390931,-0.14659999999999995,2.0629715134384,1.0,7.607801511730905,4.33368686543391,62.3374810379005,2000,0.743,-3.2
BOL,2002,-0.23623969167592304,,,10.151621769100965,0.14740000000000003,2.3204467435097,1.0,7.615628466234788,4.94485124710044,62.8187632085055,2000,0.737,-3.0
BOL,2003,-0.36508423784509647,,,10.150926766006888,0.7058000000000001,1.99033371462944,1.0,7.6256298686933,5.31627802754268,63.2918711090474,2000,0.719,-3.1
BOL,2004,-0.38959975051526996,,,10.161931034980677,1.2100000000000002,2.14548339823865,1.0,7.649688247863464,7.4299811875095,63.7564671612252,2000,0.719,-3.0
BOL,2005,-0.3854410494268595,,,10.187471226795724,1.7142,1.89650330503014,1.0,7.676096525466966,11.5452208680479,64.2133062205259,2000,0.753,-2.9
BOL,2006,-0.38302635490708165,,,10.140542690997925,1.7396,1.717004422633,1.0,7.705905162842936,14.6334565247073,64.6631431424362,2000,0.746,-2.9
BOL,2007,-0.382070691329087,,,10.136768857441833,1.6401999999999997,1.46622698404757,1.0,7.733432810508475,13.9849345825977,65.1067327824433,2000,0.724,-2.7
BOL,2008,-0.3835596970269306,,,10.127321609939985,1.3357999999999999,1.4890475837354,1.0,7.776220517941462,12.7766867611472,65.5448299960338,2000,0.719,-2.4
BOL,2009,-0.3884906978001699,,,10.147073840811522,0.9788,2.19395160882894,1.0,7.792586630706832,7.44851742232197,65.9781896386949,2000,0.719,-2.0
BOL,2010,-0.3312127203654821,,,10.161091099863741,0.4474,1.76136075631536,1.0,7.81658102037143,9.16161212209317,66.4075665659133,2010,0.714,-1.7
BOL,2011,-0.25470850954921753,,,10.202841260155703,0.2222,2.78500726887326,1.0,7.851085337706473,14.001095606139,66.833715633176,2010,0.68,-1.5
BOL,2012,-0.2147418219401182,,,10.229080608321908,0.12179999999999998,1.68412265690433,1.0,7.885042836256124,12.3531411069095,67.2581444827699,2010,0.677,-1.4
BOL,2013,-0.19020501452451224,,,10.259925806713422,-0.10800000000000001,1.84560643919497,1.0,7.935055785008936,11.9598682861297,67.6697055519889,2010,0.67,-1.5
BOL,2014,-0.17854964261539558,,,10.28408206215408,-0.36319999999999997,1.84124031434345,1.0,7.972777145401465,10.5328802221264,68.037425413,2010,0.658,-1.7
BOL,2015,-0.13480315492389355,,,10.324369611337737,-0.44399999999999995,1.89691504477836,1.0,8.005037649739139,4.11807754841214,68.3958051297665,2010,0.647,-1.8
BOL,2016,-0.11403969363236183,,,10.357331573543833,-0.54,1.75943591545975,1.0,8.031895790639762,2.97275312620724,68.7446327876947,2010,0.609,-1.8
BOL,2017,-0.12739949361880884,,,10.40577846997,-0.5046,1.53046784866919,1.0,8.058379271204153,5.01456692473101,69.0838016274736,2010,0.62,-1.6
BOL,2018,-0.15884867750104786,,,10.435989825125246,-0.3992,1.53642735273655,1.0,8.072322806138477,5.37166725772886,69.4133879813999,2010,0.609,-1.6
BOL,2019,-0.16735147924506705,,,10.472615383532453,-0.21459999999999996,1.49690260690782,1.0,8.07321185107095,4.09529358747088,69.7334986708387,2010,0.593,-1.3
BOL,2020,-0.1789542048920384,,,10.502713387600751,0.11900000000000004,1.45127092717043,0.0,7.9248294460835655,2.7203797976672,70.0442635528254,2020,0.456,-1.3
BOL,2021,-0.329464130152451,,,10.520763660393891,0.42140000000000005,1.39204744468967,0.0,8.010210543368496,9.46769419569564,70.3450412826165,2020,0.275,-1.4
BRA,1990,-0.16211029710385264,,,11.43365328360703,-1.6490000000000002,2.68625,1.0,8.724185879149315,2.68167389862843,74.8699006951598,1990,0.724,3.5
BRA,1991,-0.1919934456230547,,,11.449604349833095,-1.8274000000000001,2.36384102519699,1.0,8.717297172340894,2.32109734238196,75.4934501058885,1990,0.814,3.6
